neighbourhood,neighbourhood_avg_rating,neighbourhood_listing_count
Thung khru,4.876666666666666,34
Bangkok Yai,4.827551020408164,149
Thon buri,4.825358166189112,540
Chatu Chak,4.795972222222222,882
Taling Chan,4.783125,56
Saphan Sung,4.759,102
Phasi Charoen,4.758145161290322,202
Parthum Wan,4.756983050847458,754
Bang Kho laen,4.755414012738854,224
Khlong San,4.752920203735144,771
Chom Thong,4.752608695652174,68
Samphanthawong,4.74213953488372,315
Khlong Sam Wa,4.742,36
Pom Prap Sattru Phai,4.737361111111111,272
Don Mueang,4.7356410256410255,248
Lak Si,4.732916666666667,156
Phaya Thai,4.732560975609756,519
Vadhana,4.729758890898132,4505
Bang Sue,4.729436201780415,450
Rat Burana,4.727619047619048,61
Phra Khanong,4.720519774011299,1151
Bueng Kum,4.72,257
Khan Na Yao,4.71531914893617,83
Bangkok Noi,4.712928571428572,228
Bang Rak,4.704824561403509,1135
Bang Na,4.701141304347827,894
Khlong Toei,4.693847702113385,3976
Bang Kapi,4.682994011976048,636
Sathon,4.676122244488979,1356
Wang Thong Lang,4.674137931034482,177
Ratchathewi,4.673259541984733,1822
Din Daeng,4.6711139896373055,603
Min Buri,4.6658,87
Yan na wa,4.66449494949495,442
Bang Khen,4.66256880733945,183
Bang Khae,4.64483870967742,65
Bang Phlat,4.642244897959183,516
Suanluang,4.6348125,919
Sai Mai,4.634117647058823,70
Huai Khwang,4.614585529468136,3974
Dusit,4.613194444444444,128
Lat Krabang,4.602865168539325,275
Pra Wet,4.602463768115942,221
Phra Nakhon,4.590796019900497,1353
Lat Phrao,4.478709677419355,85
