neighbourhood,room_type,n
Ratchathewi,Private room,562
Vadhana,Private room,909
Bangkok Yai,Entire home/apt,63
Lat Phrao,Entire home/apt,34
Nong Khaem,Entire home/apt,5
Bang Bon,Private room,6
Bang Khen,Hotel room,3
Min Buri,Shared room,1
Lat Krabang,Entire home/apt,95
Parthum Wan,Entire home/apt,493
Lak Si,Entire home/apt,73
Sathon,Private room,426
Bueng Kum,Private room,204
Khlong San,Private room,250
Phasi Charoen,Entire home/apt,113
Nong Chok,Entire home/apt,5
Bang Khun thain,Entire home/apt,10
Bang Kho laen,Private room,83
Phaya Thai,Shared room,5
Chom Thong,Private room,23
Bang Kapi,Shared room,2
Bang Khen,Shared room,6
Bang Sue,Private room,82
Chatu Chak,Entire home/apt,506
Din Daeng,Private room,223
Pra Wet,Private room,112
Khlong Toei,Hotel room,30
Phra Nakhon,Hotel room,33
Thung khru,Entire home/apt,11
Don Mueang,Hotel room,3
Dusit,Shared room,1
Pom Prap Sattru Phai,Hotel room,10
Bang Phlat,Private room,180
Phra Khanong,Entire home/apt,856
Huai Khwang,Private room,518
Bangkok Noi,Shared room,18
Bang Rak,Shared room,28
Yan na wa,Private room,118
Samphanthawong,Hotel room,7
Khlong Sam Wa,Private room,13
Bang Na,Shared room,2
Bang Khae,Private room,41
Vadhana,Shared room,45
Wang Thong Lang,Entire home/apt,84
Ratchathewi,Shared room,44
Rat Burana,Entire home/apt,45
Min Buri,Private room,61
Sathon,Hotel room,11
Khlong San,Hotel room,17
Don Mueang,Private room,155
Suanluang,Private room,246
Phra Nakhon,Private room,1045
Khlong Toei,Private room,773
Bang Na,Entire home/apt,654
Bangkok Noi,Entire home/apt,76
Bang Rak,Entire home/apt,674
Phra Khanong,Shared room,11
Pom Prap Sattru Phai,Private room,122
Sai Mai,Private room,33
Din Daeng,Hotel room,3
Bang Kapi,Entire home/apt,434
Phaya Thai,Entire home/apt,311
Khan Na Yao,Entire home/apt,48
Bang Khen,Entire home/apt,89
Taling Chan,Private room,29
Thon buri,Private room,123
Thawi Watthana,Entire home/apt,5
Bangkok Yai,Hotel room,3
Parthum Wan,Shared room,2
Lat Krabang,Shared room,1
Khlong San,Entire home/apt,498
Sathon,Entire home/apt,884
Chom Thong,Entire home/apt,44
Parthum Wan,Private room,225
Phasi Charoen,Private room,88
Lat Krabang,Private room,174
Bueng Kum,Entire home/apt,53
Bang Kho laen,Entire home/apt,140
Lak Si,Private room,76
Nong Chok,Private room,15
Bang Khun thain,Private room,12
Taling Chan,Shared room,1
Bang Kapi,Private room,200
Bang Khen,Private room,85
Phaya Thai,Private room,203
Thon buri,Entire home/apt,417
Khan Na Yao,Private room,35
Sathon,Shared room,35
Thawi Watthana,Private room,17
Vadhana,Hotel room,26
Bang Kho laen,Shared room,1
Ratchathewi,Hotel room,31
Taling Chan,Entire home/apt,26
Khlong San,Shared room,6
Chom Thong,Shared room,1
Min Buri,Entire home/apt,25
Lak Si,Hotel room,7
Wang Thong Lang,Private room,90
Rat Burana,Private room,16
Bang Khae,Entire home/apt,24
Parthum Wan,Hotel room,34
Bangkok Yai,Shared room,1
Lat Krabang,Hotel room,5
Phasi Charoen,Hotel room,1
Bang Phlat,Entire home/apt,332
Huai Khwang,Entire home/apt,3422
Phra Khanong,Private room,282
Khlong Toei,Shared room,39
Phra Nakhon,Shared room,138
Yan na wa,Entire home/apt,321
Pom Prap Sattru Phai,Shared room,12
Don Mueang,Shared room,6
Khlong Sam Wa,Entire home/apt,19
Suanluang,Shared room,7
Khlong Toei,Entire home/apt,3134
Bangkok Noi,Private room,133
Suanluang,Entire home/apt,666
Sai Mai,Entire home/apt,37
Bang Na,Private room,235
Don Mueang,Entire home/apt,84
Bang Rak,Private room,389
Phra Nakhon,Entire home/apt,137
Pom Prap Sattru Phai,Entire home/apt,128
Huai Khwang,Shared room,21
Khlong Sam Wa,Shared room,4
Bang Phlat,Shared room,1
Chatu Chak,Hotel room,1
Yan na wa,Shared room,1
Din Daeng,Shared room,20
Saphan Sung,Entire home/apt,43
Samphanthawong,Entire home/apt,110
Dusit,Private room,105
Pra Wet,Shared room,1
Bang Sue,Shared room,1
Phra Khanong,Hotel room,2
Pra Wet,Entire home/apt,108
Bang Sue,Entire home/apt,367
Chatu Chak,Private room,353
Din Daeng,Entire home/apt,357
Samphanthawong,Shared room,24
Bang Na,Hotel room,3
Bang Rak,Hotel room,44
Thung khru,Private room,23
Saphan Sung,Shared room,1
Bangkok Noi,Hotel room,1
Ratchathewi,Entire home/apt,1185
Vadhana,Entire home/apt,3525
Nong Khaem,Private room,6
Lat Phrao,Private room,51
Bangkok Yai,Private room,82
Bang Bon,Entire home/apt,8
Wang Thong Lang,Shared room,3
Samphanthawong,Private room,174
Huai Khwang,Hotel room,13
Saphan Sung,Private room,58
Dusit,Entire home/apt,22
Chatu Chak,Shared room,22
Bang Phlat,Hotel room,3
Yan na wa,Hotel room,2
