id,price_clean,bedrooms,price_per_bedroom,room_type
21462529,1320255.0,1.0,1320255.0,Private room
1376399745235368707,1118917.14,1.0,1118917.14,Entire home/apt
1071282441162080838,1039152.5,1.0,1039152.5,Entire home/apt
1320033691497453503,912940.69,1.0,912940.69,Entire home/apt
15380964,1159508.0,2.0,579754.0,Entire home/apt
26511695,1157979.0,2.0,578989.5,Entire home/apt
23740993,1157401.0,2.0,578700.5,Entire home/apt
8880974,338523.34,1.0,338523.34,Entire home/apt
1455367354553258059,320000.0,1.0,320000.0,Entire home/apt
25434238,300000.0,1.0,300000.0,Private room
